Country,id,Global_Score,Global_Rank,Percentage_missing_values,Regional_Score,Population_in_2019,GDP_per_capita_in_2017,Goal_1,Goal_2,Goal_3,Goal_4,Goal_5,Goal_6,Goal_7,Goal_8,Goal_9,Goal_10,Goal_11,Goal_12,Goal_13,Goal_14,Goal_15,Goal_16,Goal_17,Regional_Score_Goal_1,Regional_Score_Goal_2,Regional_Score_Goal_3,Regional_Score_Goal_4,Regional_Score_Goal_5,Regional_Score_Goal_6,Regional_Score_Goal_7,Regional_Score_Goal_8,Regional_Score_Goal_9,Regional_Score_Goal_10,Regional_Score_Goal_11,Regional_Score_Goal_12,Regional_Score_Goal_13,Regional_Score_Goal_14,Regional_Score_Goal_15,Regional_Score_Goal_16,Regional_Score_Goal_17
Colombia,COL,69.6,67.0,0.0,67.1,49849818,13182.63076,85.82,56.05,79.29,83.28,70.46,76.86,91.02,71.86,31.77,21.66,81.56,84.76,90.66,74.91,56.42,58.31,68.00,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Comoros,COM,53.0,137.0,19.0,53.8,850910,2500.507998,49.16,41.56,50.43,47.16,32.10,66.64,41.56,48.28,10.39,50.77,76.17,83.89,97.39,28.31,41.20,67.59,68.08,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Cabo Verde,CPV,65.1,96.0,15.5,53.8,560349,6283.162846,54.27,46.48,73.30,78.46,65.38,69.14,81.17,73.54,25.66,36.58,81.00,91.80,89.87,45.51,54.71,74.45,64.55,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Costa Rica,CRI,75.0,33.0,1.2,67.1,4999384,15551.71048,97.60,52.38,85.83,79.45,82.27,75.41,94.12,77.92,41.51,34.74,90.15,82.74,93.44,66.17,67.21,74.47,79.18,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Cuba,CUB,70.8,56.0,19.0,67.1,11492046,,,64.88,85.19,96.05,82.42,73.75,85.07,90.61,12.43,,56.10,90.61,56.72,60.06,68.34,63.27,100.00,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
Cyprus,CYP,70.1,61.0,6.0,70.4,1198427,32415.13223,99.88,52.54,92.83,97.02,71.28,70.13,92.22,74.52,54.26,77.36,77.69,41.72,72.24,32.79,77.49,81.22,27.24,95.05,55.39,77.11,89.21,59.90,72.30,87.15,70.84,32.21,68.07,76.62,78.95,87.25,40.73,66.22,69.40,69.82
Czech Republic,CZE,80.7,7.0,2.5,77.7,10630589,32605.90633,99.41,63.10,92.41,96.28,71.07,87.95,91.80,85.14,63.21,92.27,89.41,70.75,89.06,,91.03,82.71,55.52,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Germany,DEU,81.1,6.0,1.2,77.7,82438639,45229.24529,99.64,68.69,94.80,88.98,77.00,89.45,93.24,84.37,80.45,83.41,90.86,47.37,90.22,40.54,82.56,83.44,83.15,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Djibouti,DJI,51.4,148.0,14.3,53.8,985690,,55.35,39.60,51.21,19.30,49.68,41.54,28.33,62.18,22.91,53.24,70.55,95.23,90.94,14.92,37.00,67.54,73.66,32.67,46.64,44.50,49.36,51.58,50.75,34.94,63.25,14.56,46.61,58.92,92.10,91.09,54.51,67.74,54.20,60.89
Dominica,DMA,,,,67.1,74679,9123.402264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,85.2,1.0,2.4,77.7,5775224,46682.51472,99.57,68.29,96.11,98.25,84.83,90.75,93.64,83.91,88.09,96.49,90.18,49.75,90.16,48.87,87.17,92.81,89.83,98.84,63.05,92.54,95.17,75.80,87.61,92.24,81.42,69.01,74.66,84.88,53.03,83.95,51.41,72.25,82.27,62.82
Dominican Republic,DOM,69.8,64.0,4.8,67.1,10996774,14600.86058,94.98,55.57,66.61,84.66,73.28,72.32,89.72,78.60,27.63,32.80,80.04,85.95,88.90,67.84,75.18,51.95,59.93,81.30,53.30,73.87,80.60,68.35,72.85,83.14,73.81,25.73,37.11,77.98,82.12,86.64,53.77,61.46,57.74,70.64
